channel,asset_id,canonical_destination,tracked_url,status
facebook,dessert-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons?utm_source=facebook&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=dessert-carousel-v1,draft-not-approved
youtube,dessert-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons?utm_source=youtube&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=dessert-carousel-v1,draft-not-approved
linkedin,catering-short-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu?utm_source=linkedin&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=catering-short-v1,draft-not-approved
instagram,catering-short-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu?utm_source=instagram&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=catering-short-v1,draft-not-approved
facebook,catering-short-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu?utm_source=facebook&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=catering-short-v1,draft-not-approved
youtube,catering-short-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-catering-dessert-menu?utm_source=youtube&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=catering-short-v1,draft-not-approved
linkedin,workflow-clip-v1,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker?utm_source=linkedin&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=workflow-clip-v1,draft-not-approved
instagram,workflow-clip-v1,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker?utm_source=instagram&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=workflow-clip-v1,draft-not-approved
facebook,workflow-clip-v1,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker?utm_source=facebook&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=workflow-clip-v1,draft-not-approved
youtube,workflow-clip-v1,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker,https://www.bloomjoyusa.com/resources/business-playbook/mobile-setup-fit-checker?utm_source=youtube&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=workflow-clip-v1,draft-not-approved
